title,preprocessed_title,reviews,date,place,sentiment
"""luggage was finally delivered on Thursday""",luggage wa finally delivered thursday,"Missing baggage customer service was the worst I've ever experienced. I arrived back in Phoenix on Sunday evening and air tags showed my bags arrived on Monday, but it took three more days before they were finally delivered. I understood that due to delays caused by freezing fog in London my luggage did not make it onto my final flight. I filled out the required form at the Phoenix airport and then attempted to fill one out online where I received a message saying that the bags had already been reported missing and to enter the tracking code that had been sent to me via email, but no email was received. I made phone calls daily and was told a message was sent and I should hear back within 24 hours. Finally the email with the tracking number was received on Tuesday night. I went online with the tracking number on Wednesday and it requested that I provide the same information that I had given them on the form at the airport. My luggage was finally delivered on Thursday afternoon.",17th December 2022,United States,Neutral
"""improvements needed with their ground staff2",improvement needed ground,"British Airways are not the flag carrier they used to be. The check-in staff at the Club Europe area did not display any premium service and did not provide a good overall service.  The Galleries South Lounge was very busy, but the food was very good. There is a good array of salads, pasta, bread, and hot food available. The festive Turkey and Ham pie was particularly good. The flight was delayed as LHR was very busy on a Tuesday evening. The boarding process was stressful due to the lack of any queue management system and the majority of passengers congregating around the gate. Despite British Airways using a group system to board, it took almost 1hr to board 240 passengers. The flight itself was good, with a good Club meal service. The bar service was good but it seems that British Airways have done away with champagne on-board and also in the lounge. A menu is handed out prior to departure with a good food offering for the length of flight. The food was very good, with beef cheek served with vegetables being chosen. British Airways have always excelled with their catering and this has not changed. The seat is a standard economy seat, with a table in the middle seat for Club Europe, a standard practice for British Airways. The seat was comfortable, but with limited leg room. The cabin was clean, presentable, and tidy with no issues. The A321 featured Wi-Fi which contains a very good landing page with flight information, access to the Speedbird Cafe menu, access to British Airways.com, and a good pricing strategy for wither just messaging or streaming also. Overall, the airline is still a good world player, but with clear improvements needed with their ground staff. The cabin manager was very good, but the other crew in Club did not display the expected behaviours in business class. She kept touching her face, not making eye contact with passengers, and seemed uninterested and like she did not want to be there.",14th December 2022,United Kingdom,Neutral
"""appallingly uncomfortable flights""",appallingly uncomfortable flight,"Stupidly tried British Airways again after a five year gap and paid over £7000 for my wife and I to go to Barbados because I thought the new Business Class layout might rival Virgin Atlantic on the route. About six months ago British Airways announced they were switching planes to the old antique push-me-pull-you layout but it was too late to reorganise our holiday logistics. Sure enough we suffered the most appallingly uncomfortable flights with no room (eight seats across), worn out fittings, inedible food and surly FAs.",12th December 2022,United Kingdom,Negative
"""Cabin crew very good""",cabin crew good,Not Seat horribly narrow; 3-4-3 on a 777. Thankfully the flight was only a quarter full so was able to stretch out. Food and beverage service was good and it was great having a proper beer not a cup of froth that overflows! Cabin crew very good. Booked as a British Airways ticket that included travel on Qatar Airways as well.,12th December 2022,New Zealand,Positive
"""late and delayed""",late delayed,"Glasgow to London delayed by 1 hour. My wife and I now accept that a British Airways flight will be late and delayed. Very rarely on time. As long as you accept this, you wont be disappointed planning ahead. Theres a high risk of delays. If you are connecting with another airline with OneWorld its extremely risky.",10th December 2022,United Kingdom,Negative
"""learned my lesson about late British Airways upgrades""",learned lesson late british airway upgrade,"When I tried to check in online, I was offered an upgrade to premium economy for just under £300. I decided to take it, but then the website wouldn't allow me to choose seats or to check in. I phoned British Airways and was happy that the call was picked up quickly, but I was then told that because I had changed my booking, I had to check in at the airport. So we turned up three hours before the flight, only to be told that our two adjacent aisle seats in economy had been switched to the middle seats in a row of four in premium. The check-in agent was helpful but couldn't fix and suggested we try the British Airways desk airside. That desk was understaffed but when we did reach the front of the line, we were told to try at the boarding gate. At the gate, we finally managed to get one aisle seat and one window, not sitting together. After going through that, the flight was surprisingly good, with decent food and very good service. We flew back economy, which wasn't too bad either. The flight attendants were friendly and enthusiastic, and Emma and Daniel, who looked after us, could not have been better. I've obviously learned my lesson about late British Airways upgrades, but everything else was good.",10th December 2022,United Kingdom,Negative
"""No curtain between business and economy class""",curtain business economy class,"I flew from Prague to LHR. Excellent service, attentive staff, first drink service, then meal service (choice of three meals), later second drink service. In reality - excellent flight. Couple of days later I flew back from LHR to Prague. Boarding at LHR T5 was a total chaos. Onboard service cannot really be called service: No curtain between business and economy class (which later caused people endlessly passing to get to the toilet). Meal service could not get more unprofessional - 5 rows took two guys nearly 30 mins to serve. Constantly interrupted (no people passing to the toilets at this time yet). I don´t know if there was any meal choice as no one bothers talking to you. I was served that  afternoon tea consisting of three canapes-like bites and some drink. Why would we bother serving you also a scone. Hardly after 5 mins plates to be taken away - when I asked for my scone it came as a surprise I was not served any (no co-ordination between the crew).  Crew busy chatting at the galley. In reality - the service could not get any worse. One just must ask what do you pay the premium price for?",9th December 2022,Czech Republic,Neutral
"""electronics are very poor""",electronics poor,"Disappointing again especially on business. The service is ancient, one world lounges are a catastrophe at Heathrow. Business class seat is similar to economy and electronics are very poor onboard.",9th December 2022,United Kingdom,Negative
"""couldn't even order any food / drink""",could even order food drink,During both the outbound and return flights we were not offered a decent meal. We received a tiny bag of chips and a very small bottle of water. What outraged us the most is that during the return flight we couldn't even order any food / drink because the card reader didn't function. The first and last time we'll fly with British Airways.,8th December 2022,United Kingdom,Neutral
"""My bag never showed up""",bag never showed,"I was flying to Warsaw for one day of meetings and would be flying back out to Miami the next day. Initially my flight was delayed in Denver by 3 hours. As such I knew I would miss my connection in Warsaw. The Denver to Heathrow flight was terrible. The plane was dirty, I was in economy, I usually fly business or Premium Economy but on this flight there was no availability. The plane was only about 2/3 full and the service was not good. My food was inedible and the seats very cramped although the middle seat was open so that made it tolerable. When i arrived in Heathrow it was a complete circus. Passengers everywhere trying to rebook missed connections. Not only my flight but multiple other flights had missed connections. After waiting in line for an hour I was finally rebooked on another British Airways flight to Warsaw. This plane was the smallest 3x3 plane I have seen. Packed in like sardines. My bag never showed up so i had to cancel my meeting and now have no bag to fly back to Miami. British Airways has shown no desire to help other than to give me standard answers and that hopefully my bag will show up in Miami at some point and I can retrieve it from there. I mean the bag is sitting in Heathrow somewhere with 6 different fight options to get it to Warsaw yet British Airways in unwilling to do anything to expedite getting my bag to Warsaw before I leave for Miami the next day.",3rd December 2022,United States,Neutral
"""eventually make good on their promise""",eventually make good promise,"Booked a British Airways holiday to Marrakech, after posting a negative review regarding my double tier points credit, I can now confirm that the points have been credited. It took a while but British Airways did eventually make good on their promise, thank you. Based on things now being resolved I have travelled on British Airways since and I am booked to travel to South Africa in First class on 2nd January, looking forward to the new British Airways Concorde lounge. Keep it up British Airways, loyalty is indeed a 2way street.",30th November 2022,United Kingdom,Positive
"""Extremely sub-par service""",extremely service,"Extremely sub-par service. Highlights: No online meal selection. Staff pretty much dropped off whatever meal they had and were very rude if a passenger wanted it changed. Last meal was delayed to the last 40 minutes of flight. Plates were literally grabbed away. I had to hand over my unfinished plate that the staff again dropped on me. No apology. No offer of a napkin. I had to scrounge for a piece of paper to clean my jacket. None of the passengers were told to straighten up their seats before meal. Because the seat before me was so tilted, I could barely keep the plate on the tray without things slipping off. Staff walked down with some water and biscuits. This got exhausted just before she got to me. She just looked at me and walked away. Nothing further was offered.",28th November 2022,United States,Negative
"""the service was excellent""",service wa excellent,"I virtually gave up on British Airways about three years ago, writing off my Avios and opting for other airlines. But my return flights from Heathrow to Lisbon this week were very good. The aircraft were pretty much full, but the service was excellent and the food surprisingly good. A particular shout-out to a flight attendant called Jo, but all the teams there and back were enthusiastic and attentive. I'm going to have to start spending those Avios.",26th November 2022,United Kingdom,Positive
"""I thoroughly enjoyed my flight""",thoroughly enjoyed flight,"I was pleasantly surprised that the airline could maintain a steady schedule with little delay considering the time of the year and the weather. The flight from Montreal was my return flight to Scotland, but I originally booked to fly to and from Toronto, but the airline helped me cancel and I rebooked for a cheaper flight. The inflight service was pretty decent andthey do offer a blanket and pillow. As well they walk through the cabin offering drinks and handing out a small snack prior to the leading meal service. While the food was typical air plane food. I thoroughly enjoyed my flight and had no issues at all with my flights.",25th November 2022,Canada,Positive
"""wouldn't let me check-in until 24 hours before""",would let hour,"British Airways is late, their website is atrocious, and they wouldn't let me check-in until 24 hours before the flight. I have been trying for 6 hours to check in through their website, and/or find a real person to speak with. Customer service had such a thick accent I didn't think they were speaking English.",23rd November 2022,United States,Neutral
"""Will honestly never fly them again if I can help it""",honestly never fly help,Flew from Amman to London on Nov. 14 2022. Not sure what type of aircraft it was. My Ticket was economy plus. The flight is 5h35m. We received exactly 250ml of water and about 10 potato chips. The seats did not recline and there was no entertainment system. Any other food or drink had to be purchased. So we couldn't even get a warm cup of coffee or teas. It is the third time I have flown with British Airways recently and was unhappy each time but did not write a review. Will honestly never fly them again if I can help it.,19th November 2022,Canada,Negative
"""Very unprofessional for a renowned airline like British Airways""",unprofessional renowned airline like british airway,"This is the worst experience I have ever had with any airline. I flew with British Airline on August 21st 2022. I had one checked bag that was lost at Heathrow Airport. I am aware that at that time there was a system error with the baggage belt and many travelers were affected. I filed a report for my missing bag on the same day I arrived at LAX airport, and that was on August 21st. I waited patiently for three weeks (which is the time frame to either find the bag or be eligible for a compensation). When I did not receive any update on my lost bag, I filed a claim for compensation, and that was on September 11th. Since then, I have been waiting for a response from the customer relation with no good signs of resolving the issue. I emailed them and tried to update the claim but still no response until today. I contacted the baggage team and they were not helpful and did not ease my prolonged waiting. The only way to contact customer relations is via the website and they're not even getting back to me. Every time I talk to a customer service agent, they tell me to wait some more. I have been waiting for almost three months now and my issue is not resolved yet. This whole experience was a hassle. Very unprofessional for a renowned airline like British Airways.",19th November 2022,United States,Neutral
"""lounge was overcrowded and worn out""",lounge wa overcrowded worn,"Flying LHR T5 to CPT November 2022:  British Airways app and website not working properly - would not load my ticket. LHR T5 smooth and calm. Checking process quick. - But boarding card would not scan at security, they gave me one for someone else to a different destination.  Ran back to checkin to get correct one. Bags also tagged incorrectly and had disappeared.  Someone ran off to find my bags in the depths of T5 and retag them (amazingly they did show up in Cape Town).  Told only main lounge was open not B and C pier lounges. Turns out this was false information . B Pier lounge was open. But I was in main lounge which was overcrowded and worn out. -Arrived late to the gate (train not working). There was a Biz class lane (quick) but then a giant queue to get on the plane as they only had one airbridge, not two. Seat comfy and cabin clean but the sinks were taped up as the waste was not working. I was offered hand sanitiser instead but this is disgusting (imagine going to the bathroom and not being able to wash your hands as there is no sink). Unbelievable that British Airways dispatches planes in this condition. Food average. Wine served way too late (choice of wine with cold food, or eat food first and matching wines come a quarter of an hour later). Overall experience 2/10. Flew Air France (Fortalaza to CDG to LHR) two weeks earlier which was way better. How embarrassing for British Airways.",18th November 2022,United Kingdom,Neutral
"""very uncomfortable trip""",uncomfortable trip,"Not Worst experience ever. Outbound flight was cancelled and I was not notified. I was rebooked on a very uncomfortable trip. Inbound flight delayed 1 hour, also not notified. On top of it, they boarded my hand luggage, which was the only bag I had. Extra wait in Milan then. Food is horrible.",7th November 2022,Italy,Negative
"""rate this just as a mediocre journey""",rate mediocre journey,"Check in was a shambles at BWI, just 3 counters open for a very full flight. The bag drop queue was even longer than the regular check-in queue! Boarding was done by zones so that was carried out reasonably well. Once on board, the FAs were fine, not as engaging on my outbound flight to IAD. The aircraft was cramped and the seats in economy were horrible. I was seated in an aisle seat (row F) where there is an entertainment box taking up a third of your legroom. Overall, very cramped seat, poor legroom and awful IFE screens. The meal was mediocre and there was no bar service before the meal this time. On lading, we were served a hot sandwich which had oozing cheese all over the wrapper so it was not pleasant to handle but tasted very good! The plane landed at a remote stand which meant that we had to be bussed to T5 and since it was raining, it was not a nice experience. Overall, I rate this just as a mediocre journey.",7th November 2022,Malaysia,Negative
"""baggage yet to be delivered after 5 weeks""",baggage yet delivered week,Beyond disgusted with the fact that my baggage has yet to be delivered to me after 5 weeks of emails and calls to British Airways. Two pieces reported 29th September. British Airways responses are generic non specific and all attempts to speak to a customer service worker are obstructed. All this from an airline touting its values and claiming yo be one of the best in the world. Disgraceful does not fully describe their customer service.,5th November 2022,United Arab Emirates,Neutral
"""misplaced our luggage during our wedding trip""",misplaced luggage wedding trip,"On July 19th 2022 I had submitted a complaint form with regards to the fact that British Airways had misplaced our luggage during our wedding trip to Italy and we've lost 2 days and incurred additional expenses in retrieving them, for which I had provided all copy of receipts for. I requested for my expenses to be reimbursed, they agreed, I sent all requested information and was told in 2 weeks I will be receiving it. It's 4 months later and British Airways has not processed my reimbursements and stopped answering my follow-ups on the matter.",31st October 2022,United States,Negative
"""zero faith in British Airways""",zero faith british airway,"I booked the flight on Oct 8, but have to cancel the flight on the same day after learning that I can't get my entry visa in time for the flight. And I did receive a confirmation email says my flight was canceled. But in the cancellation email, the booking reference number is a different one. So I requested cancellation, but British Airways canceled another person's flight and sent the confirmation to my email? I assumed that my flight was canceled, but after more than 3 weeks, I still have not received any refund, so I reached out, and it turned out my flight is still on?! And it is getting even more ridiculous when you try to reach out to British Airways. I tried multiple different ways, phone calls, and emails, but none was able to investigate what actually happened nor has the authority help cancel my flight without paying penalty. Based on my experience, no ones reads your email carefully, no matter how much context you put in. Given all I have experienced, I have zero faith in British Airways.",31st October 2022,United States,Neutral
"""under whelmed by the experience""",whelmed experience,London to Gibraltar on 25th October 2022. I booked my flight several months ahead of travel and was rather disappointed by the experience.  British Airways attempt to nickle and dime the customers with outrageous seat selection prices. Offering of a very small bottle of water and a nutribar as a breakfast and one gains the impression of where British Airways aim to be positioned at of late. The A320 has was no inflight entertainment or a route map. The staff disappeared for most of the flight. The flight was punctual but I felt cheated and under whelmed by the experience.,31st October 2022,United Kingdom,Neutral
"""about as abysmal as you can get""",abysmal get,"Not ve generally been a loyal Gold status flyer with British Airways if they fly the route m after but my recent flight to Nairobi was about as abysmal as you can get. We should have departed at 10:20 but after continuous delays finally left 4.5 hours late, not ideal when youve then got an 8hr + flight. Staff informed us virtually as we took off that the meal and drinks service would be started and completed asap as they needed to get rest because of hours we had been delayed. They couldnt get it out and away quickly enough. That was then basically the last you saw of them until they came around an hour or so before landing. I sincerely hope they enjoyed their rest because when you pay full fare for business class service you actually expect a service. They were all extremely miserable and clearly didnt want to be on board. Were still waiting for you to pay our compensation that has been awarded to us by the official ombudsman in July for the cancellation of our flight to Miami in March. This was cancelled at 3am for the 2:30 pm flight !",30th October 2022,United Kingdom,Neutral
"""has returned to full service""",ha returned full service,"A great flight. The suites on this aircraft really provide maximum comfort. British has returned to full service so meals were coursed, menus and hot towels provided¦etc Food was quite good with choices provided for both meals. Service was ok, I prefer to have the same person serving me rather than a hodge pudge but thats my preference. Entertainment was good as was connectivity. No real complaints except a minor one. The tray table seemed far from me while eating in its closest position. I actually felt like I was in a true business class, not by Qatars standards, but thats another story.",30th October 2022,United States,Positive
"""this flight was quite good""",flight wa quite good,"I am happy to say that this flight was quite good. Except for the second rate Euro business seating, everything was very well done. A friendly, informative cabin crew served a good hot breakfast while being very communicative to folks nervous about Heathrow transit. Well done. Unfortunately, a bus gate was used upon arrival.",30th October 2022,United States,Positive
"""no attempt to provide fresh or hot foo""",attempt provide fresh hot foo,"Just a few years ago flying on British Airways was enjoyable, but times have changed. These days about five hours on board the plane is no fun at all. The Terminal 5 experience still feels classy, and on the way out it felt well staffed and efficient. On board though, its just become an experience to be endured. British Airwayss mean decision to split seats into nicer for the first half of the plane, and nastier for the rest underlines this. There is no entertainment, no magazine. Refreshment purchases are brought to the seat after ordering from an app. There is no attempt to provide fresh or hot food on the day, despite the competition being able to do this. Is it too much to ask for, when trapped on board for five hours? You get a free tiny bottle of water and a small cereal bar. On the outbound flight the crew collected rubbish just once before landing, but helpfully tied a bag around a toilet door down the back in case anyone wanted to fight their way past and clear things up themselves. Recline buttons have been deleted on the seats and the seat pitch feels squeezed. On the return flight, for one reason or another due to British Airwayss delays from the previous day, we were just under two hours late getting off the plane late in the evening and some passengers couldnt travel at all because there were not enough crew. The cabin crew were nonetheless distinctly more professional on this flight. Altogether, I would say good things if there were any - but its hard to think of anything I could recommend British Airways for; and that is a pity, because it used to be a professional company to deal with and a pleasure worth looking forward to when making European journeys.",25th October 2022,United Kingdom,Positive
"""A very positive experience""",positive experience,"A very positive experience with British Airways. Seats were new style club seats and very comfortable for sleep. Food was fine but not outstanding. Wi-Fi good, and video screen large and bright. Baggage came out very quickly at Heathrow, had the same experience on the return flight to Atlanta. All in all, would fly British Airways again, but would probably want to make sure it is new seats.",24th October 2022,United States,Positive
"""Baggage took 3/4 hour to be delivered""",baggage took hour delivered,"Baby across the aisle cried nonstop and crew yakked in the galley so on this long flight there was no possibility for any sleep or even rest. Mentioning to a crew member that their colleagues were talking loudly made no difference at all. My second meal was something inedible, no way to get a simple bag of crisps or nuts, instead an assortment of dried something. Baggage took 3/4 hour to be delivered and had no priority for Club or even First passengers; we were all kept waiting after many economy bags had been delivered. A380 is a great aircraft but the British Airways seating is still the very tired old yin/yang configuration with some people stuck in the middle of 3 seats (probably not what anyone is expecting in business class these days)",23rd October 2022,United States,Neutral
"""cabin crew were very pleasant and helpful""",cabin crew pleasant helpful,"Evening flight from LHR to IAD on an A380. Check in at T5 is poor, most of their kiosks don't work well and staff have to be called. Boarding was very poorly managed. The ground staff were overwhelmed because it was a full flight and were struggling to manage passengers. The gate was small and there was insufficient seating for such a big aircraft. The flight was full and it left 50 minutes late but the pilot kept us informed on this issue. Once airborne, service started quite quickly and the cabin crew were very pleasant and helpful. They did their job very professionally and efficiently. They answered the call bells promptly and nothing was too much trouble. They started out with a bar service and were generous with drinks and then came the meal service and the food was very good. The IFE was old and clunky but had sufficient movies and TV programmes for a 7.5 hour flight. The seat was comfortable but legroom was tight. All in, it was an uneventful journey and I would give it the thumbs up but ground services needs attention.",22nd October 2022,Malaysia,Positive
"""Very rude and unhelpful staff""",rude unhelpful staff,"We boarded our flight at Edinburgh to London for our connecting flight to San Francisco on 4th October, there were a lot of Americas heading back to America from Scotland because of the Open Golf at St Andrews. The woman at the counter was rude, I was actually embarrassed to be British at the time. Shouting, snapping at people and just had a real horrible way about her. On the flight from London to San Francisco, prior to the 24 hour check in, I spent £150+ to reserve two seats for our once in a life time holiday to America. Once we boarded, it was evident that the seat I was sitting in was broken. The recliner button was not working and had been pushed into the frame of the arm rest. I asked the flight attendant at the time of there was anything that could be done, but not only was she also rude, but seemed uninterested in that fact that I was going to have to sit for 11 hours on a flight with a seat that wouldn't recline. I eventually got the flight to state that she would report the fault, only to find out that multiple other seats on the economy seating area were also broken. Attitude with British Airways staff has been absolutely horrendous. So, after getting off the flight, I decided to make a complaint to British Airways. Bearing in mind that I had paid £150+ for the privilege of picking a seat. I asked for a refund for the cost of the booking of the seat prior to the 24 hour check in, only to be told no, they don't do refunds. I paid for a product that was broken, met with nothing but rude staff, and they are telling me they can't refund the cost of booking the seat? 4 emails to the customer team and they are still refusing, they are also refusing to tell me whether or not that the fault was reported prior to me sitting in that seat. All they have now offered me is a £50 British Airways voucher, which I declined on the basis that if they picked my seats (for example I hadn't payed for the seats prior to the 24 hour check in) then a £50 voucher would be ok, but not when I have spent my own money to select a seat that was broken. After all my experiences with British Airways, I will not be using them again. Very rude and unhelpful staff and I will chose another carrier in the future, im actually ashamed that British Airways treats people the way they do when they are a national airline for Great Britain.",22nd October 2022,United Kingdom,Negative
"""cabin crew were very helping""",cabin crew helping,"While entering the aircraft it was very rushed no smooth boarding people were struggling with cabin luggage and finding their seats and heating was high that I was suffocating. I got faint due to that heat, but the cabin crew were very helping so all the thanks to those who helped me at that time. Other then that when I called cabin crew to ask for some water they took half an hour to response.",21st October 2022,United Kingdom,Neutral
"""All in all British Airways was just fine""",british airway wa fine,"Not LHR-LAX. I prefer the Boeing 777 over the A380 as the seats don't seem too cramped. Check-in was very easy with the kiosks as was bag drop and security at Heathrow. T5 is a whole other story. Once through security its up the escalator, up the stairs, up the elevator, down the escalator get to the gate, no seating, then down an escalator and finally down the jet bridge to the plane. I have been in and out of Heathrow many times but never in T5 before. Anyway cabin crew were pleasant; drinks and meal service were fine. It was a day flight so no real sleeping and passengers were all moving around most of the flight. The entertainment system was good with decent options, so I occupied my time with several movies. Nice landing at LAX. All in all British Airways was just fine.",17th October 2022,United States,Positive
"""recommend British Airways's new Club Class""",recommend british airway new club class,"Flew back to UK from Miami in new Club World Suite - a huge improvement on the elderly Yin and Yang style Club World. Boarding easy. Took off 1/2 hour late due to delayed incoming aircraft but made up this time on way back and landed on time. Very comfortable suite with plenty of storage for bits and pieces. Bedding and large pillow supplied. Attentive FA's - especially Anna who addressed me by name). However, let down by very average catering (not very good short rib beef and underwhelming salmon for my wife). And, sadly, once again a very poor choice of films on the IFE which let down the excellent 17inch touch screen. Refused to pay British Airways's extortionate pre-pay to book your seat fees, and still got 2 seats together. C'mon British Airways - do we not pay enough already to travel Club Class ? I can recommend British Airways's new Club Class and we will travel this way - if we can afford it - in future.",17th October 2022,United Kingdom,Positive
"""Would recommend""",would recommend,I flew with hand baggage but security at Dubai was quick. Entered lounge which was a bit small but good and drink offerings sound. Flight on A380 left on time. Few technical issues with IFE which would have been really irritating had it been a day flight. Decent snack and slept well. Arrivals lounge excellent. Would recommend.,17th October 2022,United Kingdom,Neutral
"""hit the  call button, no response for an hour""",hit call button response hour,"Not London to Cairo. First, on this 5 hour mid morning flight the only complimentary food and drink were a tiny bag of pretzels and a small bottle of water. Even Southwest is more generous. When unable to connect my phone to order food, I hit the FA call button with no response for more than an hour. When the FA came to collect garbage I had to show him the call light and he gruffly asked me what was the matter. He used his phone to place the order.",16th October 2022,United States,Neutral
"""She was attentive, warm, friendly""",wa attentive warm friendly,"This review is specifically about Maddie, crew member who took care of us. She was attentive, warm, friendly and nothing was too much trouble. Smiling from start to finish. She should be the brand ambassador for British Airways.",15th October 2022,United States,Positive
"""cramped single aisle aircraft""",cramped single aisle aircraft,"5 hours in a cramped single aisle aircraft, no inflight entertainment. In economy there is no free catering other than a bottle of water a packet of crisps and a minimal selection of food items for purchase.",14th October 2022,United Kingdom,Negative
"""it was an OK experience""",wa ok experience,"Not DFW-LHR. Had an easy transfer at DFW from American Airlines to British Airways heading to London. First ride on an A380 left me with the feeling that this plane type won't ever be my first choice. Was seated upstairs where the cabin space seemed very roomy, but the seats and rows were very cramped. When the passenger in front reclined the back of the seat was 7 inches from my face and I had a real difficult time trying to view the seat back entertainment screen. The seat itself wasn't too bad but I felt squished and locked in. On a plus side, having a window seat gave me this nice storage area by my side. Ground staff were pleasant and cabin crew were really nice. Plenty of beverages offered and multiple water runs were made during the night. Dinner was rubbish as was the morning pre-landing snack. The entertainment system was very responsive and had a pretty good selection of movies, tv, music and games. All in all it was an OK experience and did get me to London on time and our baggage arrived safely, but I'm not sold on the A380. T5 at LHR is another story that will be in a different review. What a mess that place is.",6th October 2022,United States,Positive
"""wait for cases at Heathrow T5""",wait case heathrow,Check in at Jersey straightforward. There is a small business class lounge at Jersey with reasonable drinks range and some limited food. Flight boarded on time but take off was delayed due to poor visibility at LHR. Captain kept us well informed and we eventually took off 50 mins behind schedule with a 20 minute late arrival at Heathrow. Good service from the cabin crew and a bacon roll and coffee served. Disappointing that the wait for cases at Heathrow T5 was as long as the flight!,1st October 2022,United Kingdom,Neutral
"""cabin crew are usually exceptional""",cabin crew usually exceptional,"Check in at LHR T5 was very quick and queue for security short. We used the South Lounge which was supposed to be the quieter at the time, but was very busy and difficult for our group of 3 to get seated together. Flight boarded on time. Whilst this is only a short flight (35 mins) the service of the cabin crew was outstanding. Glass of champagne, Coronation Chicken Salad and a coffee all served with a smile and a little banter. In spite of some of the issues with British Airways, their cabin crew are usually exceptional and this was no exception. Flight landed on time and bags delivered quite promptly.",1st October 2022,United Kingdom,Positive
"""I still found it underwhelming""",still found underwhelming,"The check-in process was smooth. I got access to the IGA Lounge which was nice, but not as nice has the Turkish Airlines Lounge. On board was what all this flight was about. This was my first time flying Intra-European Business Class, and though I was well prepared, I still found it underwhelming. First, the seat is just a normal economy seat, with the middle seat blocked off. There is no personal IFE, so basically no entertainment for a 3-hour flight. Meal service was very slow, and by the time it reached half of the business class cabin, one of the 2 choices ran out, plus the meal was not as good as the economy meal I got on my Turkish Airlines flight a few days ago. I could see that staff did their best, but since there were 32 business class passengers on a single aisle aircraft with a small galley, there was so much they could do. Also, the 32 passengers shared one single WC, meaning a long line for the bath room, something I have rarely seen in business class. Arrived at LHR, we did not get a contact gate, but the thing was that there was no bus either, and the crew announced that they had no idea when the bus would come. It finally came, of course, and the delay was more on the airport than the airline, but since British Airways is the main operator at Heathrow T5, such things will affect their reputation.",25th September 2022,United States,Neutral
"""At least the food tasted good""",least food tasted good,"This is my first time flying British Airways's new Club Suite, which, in my opinion, is very good. Flight to the US, including mine, departed from concourse C of Terminal 5 which did not have many shopping or dining options. However, it was quiet so finding seating was quite easy. The highlight is the Club Suite, which is spacious and provides a great deal of privacy. Meal service was slow, and everything was served on one tray, all at once. I think now is the time for them to begin to get back to pre-pandemic standard. At least the food tasted good, which was not something I previously experienced on British Airways flights, even in First Class.",25th September 2022,United States,Positive
"""I will never travel British Airways again""",never travel british airway,"My 7am flight for a conference in June was cancelled with less than 12h notice - without being given any alternative flight or rebook me upon alternative flight. Upon calling customer service, customer service who said she can only get me a flight 2 days later. They did not work with me as I miss 2 days of conference. They asked me to travel to a different airport in Sweden (Stockholm); which I reluctantly agreed to as I was not given any other choice - but I had to pay for that domestic flight myself. Upon reaching the Gothenburg airport on the day of departure, I saw a direct flight to Heathrow, called customer service and was told there is 1 seat available. So I changed to 8.15am from Gothenburg - Heathrow - Jersey. However, at this point British Airways told me I have to pay a fee of GBP 710 as I changed my flight a 2nd time.  I find it a disgrace that British Airways charge a fee to change a flight that they cancelled, and they were unable to give alternative options to reach my destination in for the conference. British Airways proposed that I travel to another airport in Sweden at my own expense. I have since contacted British Airways for the legal compensation m entitled to according to UK law, but I got a rejection as they claim I arranged my own travel to my destination. If I have a choice, I will never travel British Airways again. Such awful customer service and complete lack of understanding of customer needs.",24th September 2022,Singapore,Neutral
"""Couldnt fault anything""",couldnt fault anything,"Not I would like to thank all the air and cabin crew for having the best experience with a very long journey! I dont know how you manage to keep smiling. Couldnt fault anything. Helpful, reassuring, excellent food and I cant wait to fly again. Thank you and I really appreciated you.",23rd September 2022,United Kingdom,Neutral
"""personnel was just magnificent""",personnel wa magnificent,"British Airways personnel was just magnificent. My flight into London was delayed, security had long lines, I ran like a madman to find the gate closed but the plane was still there¦ the lady at the gate worked the computer at 200 miles an hour to allow me to board (the software program was already closed). This while the flight manager, who came towards the gate, urging her to make a decision since the plane was about to loose its take off spot in line. I was sweating from the run, still out of breath while she handed me my passport giving me the green light to board. I bolted again into the plane feeling bad that I did not personally thank her for her magic. I really hope she gets recognized by British Airways for her performance. Thank you for all you do !",20th September 2022,Netherlands,Positive
"""Should be more snacks on board""",snack board,Not Good flight apart from my seat fabric was coming apart on39J and lack of good leg room. Meal was good from Singapore. Should be more snacks on board. My neighbours passenger charger and headphone socket didnt work.,16th September 2022,Australia,Neutral
"""Crew were friendly""",crew friendly,Flight was 1 hour late leaving gate. Crew were friendly. Seats comfortable. But the complimentary snack provided was a bag of ready salted crisps.,14th September 2022,United Kingdom,Positive
"""very short leg space""",short leg space,"London to Istanbul. British Airways Business Class rows comprise of three seats with the middle seat empty. Front rows about 5-7 are considered as Business Class, with very short leg space.  No pillows, no blanket, horrible inflight service, staff were harassing me. No curtesy for business Class check-in while waiting for flights.",11th September 2022,United States,Neutral
"""staff were no help and frankly rude""",staff help frankly rude,Not London to Manchester. British Airways is probably the worst air company I have ever flown with they took 2 hours to unload the luggage and the flight was delayed by an hour. The staff were no help and frankly rude.,10th September 2022,United Kingdom,Negative
"""Flight was cancelled at the last minute""",flight wa cancelled last minute,Not Flight was cancelled at the last minute due to weather despite pretty much all other flights not being affected. Booked onto a flight the next day. Arrived at the airport 2.5 hours ahead T5. Horrendous check-in and security delays meant we almost missed the new flight. The flight was fine once we got on it but the damage was done.,7th September 2022,New Zealand,Neutral
